id,tenant_id,company_id,assigned_to,first_name,last_name,email,secondary_email,phone,mobile_phone,job_title,department,address,city,state,country,postal_code,timezone,birthday,lead_source,lead_status,lifecycle_stage,score,do_not_contact,unsubscribed,is_archived,is_customer,tags,times_contacted,linkedin_url,created_at,created_by
baeb1abc-d285-44e1-b41f-2bad6459d8b3,6e2684b5-dd18-4549-8440-7276b577d2b5,7cf2bc74-bb0b-407b-bc27-a8d4fc1a9a66,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e,Robert,Webb,robert.webb@outlook.com,,,,Technician,Engineering,9393 Main St,Chicago,KS,JP,,US/Eastern,,content_marketing,lost,marketing_qualified_lead,25,False,False,False,False,"['upsell', 'pricing_page', 'enterprise']",32,https://linkedin.com/in/robert-webb,2025-09-23T00:12:31.962848,71030eb2-1621-4863-8e2d-b6184abb7f32
ae137412-869c-460b-9bc1-7a84365fd7df,6e2684b5-dd18-4549-8440-7276b577d2b5,c244bb6a-aae2-4c38-a178-9d130f6b3782,d53e375b-e751-4c1c-9dd2-2c198336f144,Julie,Brooks,julie.brooks@work.org,,+15121809077,,,,5487 Main St,,CA,US,,US/Pacific,1973-01-31,partner,contacted,lead,78,True,False,False,False,[],7,https://linkedin.com/in/julie-brooks,2026-03-27T03:24:12.962922,8b51f21b-0da9-4139-8f04-0ef4187ce705
f47410e4-12cb-4270-ab80-05bc6b2a8e6e,6e2684b5-dd18-4549-8440-7276b577d2b5,3dcfad1d-76f8-4bae-87a2-eb67d31fbdaa,7223e10a-b124-4a7f-a342-f0f59020ba2f,Arthur,White,arthur.white@work.org,,+18256677838,,Technician,,,Portland,FL,AU,20774,US/Pacific,,email_campaign,unqualified,sales_qualified_lead,5,False,False,False,False,"['upsell', 'win_back', 'renewal', 'content_downloader']",7,,2025-10-13T19:31:59.962959,f26bd177-029d-4863-993c-dfebe5004897
7d28bc4f-aa04-4b1e-b819-e6edb5fa412b,6e2684b5-dd18-4549-8440-7276b577d2b5,,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f,Matthew,Hart,matthewhart@gmail.com,,+17711130060,+18757405655,,Engineering,4356 Pine St,Columbus,IN,FR,13928,US/Pacific,,paid_ads,converted,opportunity,36,False,False,False,False,['seasonal'],3,https://linkedin.com/in/matthew-hart,2025-06-26T13:01:40.962995,63c904bb-37e1-42e9-b828-03d273915302
1f7d0e53-6d7d-4473-9026-12bbcfd50e7b,6e2684b5-dd18-4549-8440-7276b577d2b5,,7223e10a-b124-4a7f-a342-f0f59020ba2f,Joe,Jones,joe.jones@company.com,joejones@yahoo.com,+17536152559,+13679684601,Customer Success Manager,,4393 Pine Ave,,TX,DE,30941,US/Eastern,,partner,new,subscriber,37,False,False,False,False,['new_market'],44,,2025-06-03T18:33:01.963032,f26bd177-029d-4863-993c-dfebe5004897
4663a1fe-cc1b-4cf8-bad6-118f03bb7f87,6e2684b5-dd18-4549-8440-7276b577d2b5,,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f,Bruce,Rivera,brucerivera3@outlook.com,,,+12136181174,Manager,Human Resources,485 Main St,Indianapolis,WI,CA,33039,US/Eastern,,linkedin,converted,evangelist,8,False,False,False,False,"['seasonal', 'demo', 'vip', 'high_priority']",47,,2026-01-03T11:28:36.963067,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
a78bcc0b-7f3b-4bda-9cfe-a5fa9debce75,6e2684b5-dd18-4549-8440-7276b577d2b5,848a1845-563a-442e-81af-56cf082e899a,8b51f21b-0da9-4139-8f04-0ef4187ce705,Lori,Gutierrez,lorigutierrez@outlook.com,,+17234547321,,CTO,Sales,212 Oak Ave,,,DE,,US/Central,,linkedin,qualified,sales_qualified_lead,44,False,False,False,False,['nurture'],20,,2025-06-14T20:00:47.963107,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
49998f76-72e7-4cf1-88f6-cc3f2fca47bc,6e2684b5-dd18-4549-8440-7276b577d2b5,51799094-b05c-4065-8cb7-c74a325090ce,71030eb2-1621-4863-8e2d-b6184abb7f32,George,Powell,george_powell91@hotmail.com,,,,,,1354 Pine Ave,,CA,BR,,US/Central,,email_campaign,unqualified,churned,10,False,False,False,False,[],26,,2025-05-27T21:53:05.963176,13f891f6-02c5-48a2-bb4f-65f664be06a0
99b2edbc-d9eb-4ee4-a2c7-f1417aeab8f0,6e2684b5-dd18-4549-8440-7276b577d2b5,758f5ef9-b984-43da-8002-2029e0316f70,d53e375b-e751-4c1c-9dd2-2c198336f144,Christian,Stone,christian.stone41@yahoo.com,,+17614546867,,,Marketing,,Oklahoma City,,IN,,US/Central,1971-07-09,word_of_mouth,contacted,subscriber,51,False,False,False,False,[],6,,2026-06-24T10:25:38.963217,71030eb2-1621-4863-8e2d-b6184abb7f32
f83210e4-ecf9-4b5d-b262-a0cf3bfd54fc,6e2684b5-dd18-4549-8440-7276b577d2b5,303695e1-f035-4ba7-a54f-19b1541aa73f,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb,Gerald,Lee,geraldlee@gmail.com,,+18815079527,+18454005309,VP Sales,,6977 Pine St,,KS,US,22889,UTC,,linkedin,new,marketing_qualified_lead,47,False,False,False,False,['renewal'],1,https://linkedin.com/in/gerald-lee,2026-03-23T05:09:44.963253,13f891f6-02c5-48a2-bb4f-65f664be06a0
